Barcode,GENE1,GENE2,GENE3,GENE4,GENE5,GENE6,GENE7,GENE8,GENE9,GENE10,GENE11,GENE12,GENE13,GENE14,GENE15,GENE16,GENE17,GENE18,GENE19,GENE20
BC1,16.0,85.0,22.0,48.0,74.0,21.0,0.0,27.0,74.0,14.0,91.0,86.0,74.0,0.0,82.0,43.0,19.0,12.0,5.0,33.0
BC2,15.0,26.0,8.0,2.0,72.0,0.0,47.0,26.0,12.0,0.0,0.0,0.0,91.0,20.0,71.0,27.0,55.0,3.0,0.0,71.0
BC3,9.0,0.0,85.0,44.0,0.0,40.0,24.0,10.0,0.0,0.0,16.0,86.0,81.0,0.0,21.0,57.0,67.0,0.0,0.0,52.0
BC4,0.0,16.0,7.0,61.0,0.0,0.0,16.0,0.0,42.0,99.0,0.0,63.0,47.0,44.0,0.0,86.0,18.0,82.0,65.0,34.0
BC5,8.0,0.0,0.0,0.0,71.0,0.0,16.0,0.0,0.0,0.0,52.0,27.0,98.0,0.0,49.0,55.0,73.0,84.0,3.0,95.0
BC6,55.0,0.0,0.0,83.0,0.0,0.0,0.0,0.0,91.0,94.0,0.0,4.0,81.0,0.0,18.0,0.0,54.0,26.0,63.0,47.0
BC7,0.0,47.0,20.0,56.0,73.0,24.0,50.0,11.0,0.0,89.0,15.0,69.0,0.0,0.0,0.0,0.0,87.0,20.0,94.0,0.0
BC8,0.0,55.0,11.0,4.0,0.0,19.0,13.0,61.0,37.0,0.0,0.0,0.0,19.0,40.0,21.0,0.0,48.0,0.0,20.0,52.0
BC9,91.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,49.0,34.0,82.0,0.0,6.0,0.0,62.0,42.0,37.0,75.0,37.0,46.0
BC10,61.0,80.0,0.0,71.0,83.0,65.0,86.0,25.0,0.0,0.0,83.0,5.0,0.0,90.0,37.0,78.0,93.0,88.0,0.0,0.0
BC11,0.0,0.0,16.0,0.0,0.0,1.0,21.0,24.0,58.0,4.0,8.0,40.0,0.0,94.0,0.0,25.0,23.0,10.0,0.0,0.0
BC12,57.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,14.0,0.0,12.0,31.0,97.0,0.0,83.0,16.0,0.0,0.0,51.0,94.0
BC13,0.0,86.0,0.0,1.0,93.0,9.0,0.0,0.0,19.0,94.0,0.0,90.0,39.0,0.0,57.0,0.0,0.0,71.0,0.0,77.0
BC14,90.0,91.0,9.0,13.0,0.0,24.0,57.0,66.0,51.0,54.0,60.0,12.0,58.0,42.0,0.0,0.0,61.0,40.0,23.0,73.0
BC15,81.0,85.0,96.0,0.0,2.0,95.0,0.0,38.0,90.0,19.0,0.0,0.0,0.0,48.0,0.0,0.0,36.0,0.0,21.0,76.0
BC16,0.0,0.0,97.0,37.0,86.0,30.0,45.0,96.0,38.0,21.0,0.0,0.0,46.0,0.0,33.0,0.0,86.0,0.0,55.0,50.0
BC17,17.0,8.0,24.0,0.0,0.0,77.0,91.0,8.0,0.0,0.0,0.0,45.0,23.0,0.0,0.0,45.0,0.0,93.0,83.0,0.0
BC18,41.0,47.0,59.0,0.0,94.0,0.0,0.0,91.0,21.0,0.0,21.0,0.0,37.0,0.0,39.0,64.0,14.0,31.0,0.0,92.0
BC19,35.0,49.0,49.0,0.0,0.0,73.0,0.0,33.0,0.0,44.0,41.0,0.0,0.0,47.0,72.0,0.0,23.0,58.0,61.0,2.0
BC20,9.0,73.0,65.0,0.0,93.0,88.0,45.0,25.0,0.0,69.0,80.0,94.0,55.0,56.0,62.0,13.0,60.0,23.0,67.0,50.0
